zip,donations,total,NAME,variable,estimate,moe,donations_per_1000
20778,1436,39547.169999999984,ZCTA5 20778,zip,1972,429,728.1947261663287
20779,687,29339.599999999988,ZCTA5 20779,zip,985,210,697.4619289340102
20781,5853,231033.8899999996,ZCTA5 20781,zip,11626,648,503.44056425253746
20782,12863,595571.0799999984,ZCTA5 20782,zip,32553,1264,395.1402328510429
20783,5720,339753.4999999998,ZCTA5 20783,zip,45559,1506,125.551482692772
20784,5749,90245.51000000014,ZCTA5 20784,zip,30184,929,190.46514709780016
20785,11413,374647.23999999976,ZCTA5 20785,zip,37601,1222,303.5291614584719
20794,2890,65081.25000000002,ZCTA5 20794,zip,16601,1145,174.08589843985303
20812,416,82029.63,ZCTA5 20812,zip,325,75,1280
20814,54366,3840965.980000051,ZCTA5 20814,zip,28930,855,1879.2257172485308
20815,77637,9090681.019999975,ZCTA5 20815,zip,30512,878,2544.4743051914
20816,35071,3206491.790000002,ZCTA5 20816,zip,16367,517,2142.787315940612
20817,65357,5935171.610000005,ZCTA5 20817,zip,36681,919,1781.7671273956544
20818,3976,339569.6300000002,ZCTA5 20818,zip,2019,278,1969.2917285785043
20832,15646,505974.4099999999,ZCTA5 20832,zip,26448,798,591.5759225650332
20833,4572,170021.89000000042,ZCTA5 20833,zip,7750,619,589.9354838709677
20837,4684,155442.2500000004,ZCTA5 20837,zip,6225,266,752.4497991967871
20838,448,18843.38,ZCTA5 20838,zip,252,75,1777.7777777777776
20839,462,11704.82,ZCTA5 20839,zip,100,136,4620
20841,4010,161266.3100000001,ZCTA5 20841,zip,10481,769,382.5970804312566
20842,978,55610.649999999994,ZCTA5 20842,zip,1712,289,571.2616822429907
20850,45289,1625183.4800000193,ZCTA5 20850,zip,51568,1120,878.2384424449272
20851,5030,158464.17000000016,ZCTA5 20851,zip,15106,804,332.9802727393089
20852,48307,1984718.029999996,ZCTA5 20852,zip,46904,1095,1029.912161009722
20853,19911,556389.1599999968,ZCTA5 20853,zip,31178,1052,638.6233882866123
20854,55150,4750407.0800000075,ZCTA5 20854,zip,49194,1048,1121.07167540757
20855,10620,442482.6699999997,ZCTA5 20855,zip,14302,925,742.5534890225143
20860,4148,138927.70000000022,ZCTA5 20860,zip,2805,622,1478.7878787878788
20861,2729,124085.48999999998,ZCTA5 20861,zip,1665,304,1639.039039039039
20862,260,16786.32,ZCTA5 20862,zip,327,94,795.1070336391437
20866,6180,175550.99000000046,ZCTA5 20866,zip,16171,1023,382.1656050955414
20868,451,11939.11,ZCTA5 20868,zip,864,212,521.9907407407406
20871,8598,204083.8700000006,ZCTA5 20871,zip,20008,977,429.7281087564974
20872,7302,125311.22000000012,ZCTA5 20872,zip,12940,638,564.2967542503864
20874,22381,527915.7199999968,ZCTA5 20874,zip,61045,1400,366.6311737243018
20876,9660,214333.43000000037,ZCTA5 20876,zip,28919,1289,334.03644662678516
20877,15286,371444.01,ZCTA5 20877,zip,38885,1290,393.1078822167931
20878,41096,1313016.679999994,ZCTA5 20878,zip,64126,1156,640.8633003773821
20879,10054,219295.58000000264,ZCTA5 20879,zip,27871,1406,360.73337878081156
20880,1356,52557.24000000001,ZCTA5 20880,zip,455,99,2980.21978021978
20882,8651,261341.96000000025,ZCTA5 20882,zip,13450,765,643.1970260223048
20886,16207,362243.20999999874,ZCTA5 20886,zip,34100,1071,475.27859237536654
20895,26497,1347975.3600000064,ZCTA5 20895,zip,19637,598,1349.340530630952
20896,1962,161566.2600000002,ZCTA5 20896,zip,929,150,2111.94833153929
20899,30,3050,ZCTA5 20899,zip,260,109,115.38461538461539
20901,42989,1309525.8700000062,ZCTA5 20901,zip,36154,1163,1189.0523870111192
20902,29875,1073108.0000000023,ZCTA5 20902,zip,52484,1503,569.2210959530523
20903,6587,250580.09999999992,ZCTA5 20903,zip,26206,1365,251.35465160650233
20904,41324,1477418.6700000064,ZCTA5 20904,zip,57035,1833,724.5375646532831
20905,12733,509001.05000000366,ZCTA5 20905,zip,18123,954,702.5878717651602
20906,54095,1138991.140000007,ZCTA5 20906,zip,70174,1675,770.8695528258329
